country,percentage_total,percentage_deaths,percentage_vaccinated
Sao Tome and Principe,1.152,0.019,5.417
Saudi Arabia,1.555,0.024,36.381
Senegal,0.43,0.01,3.374
Serbia,10.909,0.106,40.736
Seychelles,19.717,0.103,70.89
Sierra Leone,0.08,0.002,0.19
Singapore,1.136,0.001,74.138
Sint Maarten (Dutch part),0.0,0.0,51.973
Slovakia,7.218,0.23,38.76
Slovenia,12.677,0.214,42.383
Solomon Islands,0.003,0.0,2.102
Somalia,0.106,0.006,0.548
South Africa,4.537,0.134,8.148
South America,8.49,0.26,26.803
South Korea,0.464,0.004,22.558
South Sudan,0.101,0.001,0.043
Spain,10.203,0.178,66.51
Sri Lanka,1.821,0.034,26.247
Sudan,0.086,0.006,0.417
Suriname,4.688,0.119,17.681
Sweden,11.056,0.145,51.13
Switzerland,8.698,0.126,50.261
Syria,0.154,0.011,0.053
Taiwan,0.067,0.003,3.263
Tajikistan,0.172,0.001,2.223
Tanzania,0.002,0.0,0.366
Thailand,1.503,0.013,8.174
Timor,1.078,0.004,10.848
Togo,0.237,0.002,2.158
Tokelau,0.0,0.0,0.0
Tonga,0.0,0.0,17.703
Trinidad and Tobago,3.075,0.088,26.273
Tunisia,5.423,0.191,14.509
Turkey,7.37,0.065,41.617
Turkmenistan,0.0,0.0,0.162
Turks and Caicos Islands,0.0,0.0,60.659
Tuvalu,0.0,0.0,0.0
Uganda,0.213,0.006,0.53
Ukraine,5.415,0.129,7.172
United Arab Emirates,7.172,0.02,74.102
United Kingdom,9.61,0.194,61.41
United States,11.393,0.19,51.607
Uruguay,11.057,0.173,71.027
Uzbekistan,0.445,0.003,3.683
Vanuatu,0.001,0.0,0.56
Vatican,3.337,0.0,0.0
Venezuela,1.142,0.014,3.868
Vietnam,0.358,0.009,1.84
Wallis and Futuna,0.0,0.0,41.908
Yemen,0.025,0.005,0.045
Zambia,1.113,0.019,1.301
Zimbabwe,0.825,0.029,9.83
